
29|S1ABDA12FF|Wilayah Medan|SPBU ULE LHEU|100|ATM TUNAI|SPBU/REST AREA|5.554487,95.288689|SPBU No. 14.232.448 Jl. Sultan Iskandar Muda |||Kab. Aceh Besar|Nanggroe Aceh Darussalam|#N/A
30|S1ABDA12HH|Wilayah Medan|DRIVE THRU BANDA ACEH|100|ATM TUNAI DT|PARIWISATA|5.551225,95.319669|Taman Kota Tugu Adipura Jl. Moh Jam, Banda Aceh, Nanggroe Aceh Darussalam |Kel. Merduati|Baiturrahman|Kota Banda Aceh|Nanggroe Aceh Darussalam|23242
31|S1ABDA12II|Wilayah Medan|KLN UNSYIAH 4|50|ATM TUNAI|PENDIDIKAN|5.568353,95.369831|Komplek Universitas Syiah Kuala Darussaalam Jl. Syech abd.|Kel. Kopelma Darussalam|Syah Kuala|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
32|S1ABDA12JJ|Wilayah Medan|KANTOR WALIKOTA ACEH|100|ATM TUNAI|INSTANSI/KANTOR|5.550166,95.317885|Jl. Tengku Abu Lam U No. 10|Kel. Kota Baru|Kuta Alam|Kota Banda Aceh|Nanggroe Aceh Darussalam|23125
33|S1ABDA12LL|Wilayah Medan|GALLERY PASAR ATJEH 1|100|ATM TUNAI|PERTOKOAN|5.555280,95.316342|Jl. Diponegoro Lorong Linggar Waru No 6 Banda Aceh |||Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
34|S1ABDA12NN|Wilayah Medan|GALLERY PASAR ATJEH 3|50|ATM TUNAI|PERTOKOAN|5.555280,95.316342|Jl. Diponegoro Lorong Linggar Waru No 6 Banda Aceh |||Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
35|S1ABDA12OO|Wilayah Medan|GALLERY PASAR ATJEH 4|50|ATM TUNAI|PERTOKOAN|5.555280,95.316342|Jl. Diponegoro Lorong Linggar Waru No 6 Banda Aceh |||Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
36|S1ABDAR004|Wilayah Medan|KC BANDA ACEH 1 CRM|10|ATM CRM|INSTANSI/KANTOR|5.556068,95.314656|Jl. K.H Ahmad Dahlan No.111 Banda Aceh|Kel. Merduati|Baiturrahman|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
37|S1ABDAK001|Wilayah Medan|GLY PSR ATJEH NON TUNAI 1|50|ATM NON TUNAI|PERTOKOAN|5.555280,95.316342|Jl. Diponegoro Lorong Linggar Waru No 6 Banda Aceh |Kel. Merduati|Baiturrahman|Kota Banda Aceh|Nanggroe Aceh Darussalam|23242
38|S1ABDG02OH|Wilayah Bandung|CABANG BANDUNG 3|50|ATM TUNAI|INSTANSI/KANTOR|-6.921378,107.613656|Jalan Asia Afrika No. 119 Kel. Kebon Pisang Kec. Sumur Bandung, Bandung, Jawa Barat|Kel. Kebon Pisang|Sumurbandung|Kota Bandung|Jawa Barat|40112
40|S1ABDG12HH|Wilayah Bandung|SPBU TERUSAN BUAHBATU|50|ATM TUNAI|SPBU/REST AREA|-6.57813 107.381734|Jl. Terusan Buahbatu no. 89-90 Bandung|Ds. Bojongsoang|Bojongsoang (kab. Bandung)|Kota Bandung|Jawa Barat|40288
41|S1ABDGR004|Wilayah Bandung|KLN BUAHBATU CRM|50|ATM CDM/CRM|PERTOKOAN|-6.82008,107.619324|Jalan Buah Batu No. 189 D Kel. Turangga Kec. Lengkong, Bandung, Jawa Barat|Kel. Turangga|Lengkong|Kota Bandung|Jawa Barat|40264
42|S1ABDGK001|Wilayah Bandung|KC BANDUNG NON TUNAI|50|ATM NON TUNAI|INSTANSI/KANTOR|-6.921378,107.613656|JL. ASIA AFRIKA NO. 119 - BANDUNG|Kel. Babakan Ciamis|Sumurbandung|Kota Bandung|Jawa Barat|40117
43|S1ABDGK002|Wilayah Bandung|GALLERY ATM BIP-NON TUNAI|50|ATM NON TUNAI|MALL/PLAZA|-6.904614,107.610655|Jl. Merdeka No. 56 Bandung|Kel. Citarum|Bandung Wetan|Kota Bandung|Jawa Barat|40115
45|S1ABDO01ER|Wilayah Malang|CABANG BONDOWOSO 1|100|ATM TUNAI|PERTOKOAN|-7.913719, 113.818582|JL. A. YANI NO. 26 BONDOWOSO 68214|DABASAH|BONDOWOSO|KAB. BONDOWOSO|Jawa Timur|68211
46|S1ABGR03QV|Wilayah BSd|SYARIAH TAJUR|100|ATM TUNAI|PERTOKOAN|-6.640747,106.835706|JL. RAYA TAJUR NO. 88 D BOGOR|TAJUR|BOGOR TIMUR|Kota Bogor|Jawa Barat|16141
47|S1ABGRK003|Wilayah BSd|KLN PASAR ANYAR BOGOR NT|50|ATM NON TUNAI|PERTOKOAN|-6.58867,106.793149|JL. SAWO JAJAR NO. 06 BOGOR|GUDANG|BOGOR TENGAH|Kota Bogor|Jawa Barat|16123
62|S1ABKS12LL|Wilayah Kemayoran|SPBU541 TAMBUN SELATAN|100|ATM TUNAI|SPBU/REST AREA|-62792037, 1070622483|Jl.Inspeksi Kalimalang No.27, Tambun Selatan, Kab.Bekasi||Tambun|Kab. Bekasi|Jawa Barat|#N/A
63|S1ABKS12XX|Wilayah Kemayoran|KLINIK PERMATA BUNDA|100|ATM TUNAI|KESEHATAN|-62469603, 1071582373|Jl.KH.Fudholi Raya No.11, Karang Asih, Cikarang Utara ||Cikarang|Kab. Bekasi|Jawa Barat|#N/A
65|S1ABLG01NA|Wilayah Medan|KC BALIGE 2|50|ATM TUNAI|INSTANSI/KANTOR|"2.19'59.75""U - 99.03'35.45""T."|Jl. Patuan Nagari No. 101 Kec. Balige, Toba Samosir, Sumatera Utara|Kel. Napitupulu|Balige|Kab. Toba Samosir|Sumatera Utara|22311
66|S1ABLG01NB|Wilayah Medan|KLN TARUTUNG 2|50|ATM TUNAI|INSTANSI/KANTOR|"2.01'11.18""U - 98.57'47.42""T"|Jl. Sisingamangaraja No. 82 Kec. Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara||Tarutung|Kab. Tapanuli Utara|Sumatera Utara|#N/A
67|S1ABLG01NC|Wilayah Medan|KLN DOLOK SANGGUL 2|100|ATM TUNAI|PERTOKOAN|"2. 15'33.36""U - 98.45'.01.99""T"| Jl. Merdeka, Kel. Pasar Dolok Sanggul, Kec. Dolok Sanggul, Kab. Humbang Hasundutan, Sumatera Utara|Kel. Pasar Dolok Sanggul|Dolok Sanggul|Kab. Humbang Hasundutan|Sumatera Utara|#N/A
68|S1ABLG06AA|Wilayah Medan|KC BALIGE 1|100|ATM TUNAI|INSTANSI/KANTOR|"2.19'59.75""U - 99.03'35.45""T."|Jl. Patuan Nagari No. 101 Kec. Balige, Toba Samosir, Sumatera Utara||Balige|Kab. Toba Samosir|Sumatera Utara|#N/A
69|S1ABLG09XY|Wilayah Medan|KK PORSEA|100|ATM TUNAI|PERTOKOAN|"2.26'12.52""U - 99.09'28.11""T"|Jl. Sisingamangaraja No. 111 Kel. Napitupulu Bagasan, Kec. Balige, Kab. Toba Samosir, Sumatera Utara|Kel. Napitupulu Bagasan|Balige|Kab. Toba Samosir|Sumatera Utara|#N/A
70|S1ABLG09XZ|Wilayah Medan|JL. SM RAJA SIBORONG|100|ATM TUNAI|PERTOKOAN|"2.12'52.59""U - 98.58'29.77""T"|Jl. Sisingamangaraja No. 25 Kec. Siborong-borong, Tapanuli Utara, Sumatera Utara||Siborong-borong|Kab. Tapanuli Utara|Sumatera Utara|#N/A
71|S1ABLG11RQ|Wilayah Medan|SPBU LASMA PARDEDE|100|ATM TUNAI|SPBU/REST AREA|"2.20'02.41""U - 99.03' 47.18""T"|SPBU No. 14.223301 Jl. Sisingamangaraja ||Balige|Kab. Toba Samosir|Sumatera Utara|#N/A
72|S1ABLGK001|Wilayah Medan|KC BALIGE NON TUNAI|50|ATM NON TUNAI|INSTANSI/KANTOR|"2.19'59.75""U - 99.03'35.45""T."|Jl. Patuan Nagari No. 101 Balige||Balige|Kab. Toba Samosir|Sumatera Utara|#N/A
73|S1ABLT01EP|Wilayah Malang|CABANG BLITAR 1|50|ATM TUNAI|INSTANSI/KANTOR|-8.100683, 112.164820|JL. KENANGA NO. 9 BLITAR|KEPANJEN KIDUL|KEPANJEN KIDUL|KOTA BLITAR|Jawa Timur|66111
74|S1ABLT02PD|Wilayah Malang|KANTOR TELKOM|100|ATM TUNAI|INSTANSI/KANTOR|-8.099472, 112.170689|JL. AHMAD YANI NO. 10 BLITAR|KEPANJEN KIDUL|KEPANJEN KIDUL|KOTA BLITAR|Jawa Timur|66111
75|S1ABLT03QJ|Wilayah Malang|CABANG BLITAR 2|100|ATM TUNAI|INSTANSI/KANTOR|-8.100683, 112.164820|JL. KENANGA NO. 9 BLITAR|KEPANJEN KIDUL|KEPANJEN KIDUL|KOTA BLITAR|Jawa Timur|66111
76|S1ABLT05CW|Wilayah Malang|PASAR PATHOK BLITAR|100|ATM TUNAI|PERTOKOAN|-7.981942, 112.174065|JL. RAYA DS. PATOK KAB. BLITAR|PATOK|PATOK|KAB. BLITAR|Jawa Timur|66171
77|S1ABLT05CX|Wilayah Malang|KK SRENGAT 2|100|ATM TUNAI|INDUSTRI/PABRIK| -8.063768, 112.071007|JL. RAYA DANDONG KEC. SRENGAT KAB. BLITAR|DANDONG|SRENGAT|KAB. BLITAR|Jawa Timur|66152
