
146|BATAM CENTER DH SUMATERA PROMOTION CENTER|1.101301,103.96130|RUKO HUPSENG BLOK A NO. 17-18, JL. ENGKU PUTRI, BATAM CENTER, KOTA BATAM|29461|KOTA BATAM|Kec. Nongsa|Kel. Teluk Tering||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778) 470030|(0778) 470033
147|BATU AJI|1.047264,103.938743|KOMPLEK PERTOKOAN BLOK D NO. 01 DAN 01 A HOOK PERUMNAS FANINDO TANJUNG UNCANG. BATAM|29424|KOTA BATAM|Kec. Sekupang|Kel. Tanjung Uncang||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778)3581246|
148|NAGOYA|1.14863,104.00814|KOMPLEK PERTOKOAN NAGOYA BUSINESS CENTER BLOK I NO. 1-2 BATAM|29444|KOTA BATAM|Kec. Lubuk Baja|Kel. Lubuk Baja Kota||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778) 452671|(0778) 452672
149|BOTANIA|1.10774,104.02561|RUKO BOTANIA GARDEN NLOK B12 NO.01-02, BOTANIA GARDEN, KEC. BATAM KOTA, KOTA BATAM|29484|KOTA BATAM|#N/A|#N/A||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778) 7434046|(0778) 7434146
150|SEKUPANG|1.10830,103.95084|KOMPLEK PERTOKOAN WIJAYA BLOK A NO. 7 DAN 8 SEKUPANG BATAM|29428|KOTA BATAM|Kec. Sekupang|Kel. Sungai Harapan||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778)325021|
151|BATU AMPAR|1.16245,104.00343|JL. YOS SUDARSO NO.3 BATU AMPAR, KOTA BATAM|29451|KOTA BATAM|Kec. Batu Ampar|Kel. Batu Merah||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778)4277330|(0778)427338
152|SP PLAZA|1.04157,103.98466|KOMPLEKS SENTOSA PERDANA BLOK DD NO.1, KEL. TEMBESI, KEC. SAGULUNG, KOTA BATAM|29439|KOTA BATAM|Kec. Sungai Beduk|Kel. Sagulung||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778)395127|(0778)395374
153|KABIL|1.11259,104.13291|RUKO KAWASAN CITRA NUSA NIAGA BLOK A1 NO.1-2 KAWASAN INDUSTRI KABIL, NONGSA,KOTA BATAM|29467|KOTA BATAM|Kec. Nongsa|Kel. Kabil||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778)5119946|
154|NAGOYA HILL|1.14340,104.01139|RUKO NAGOYA HILL SUPERBLOK R3 NO. J.35, NAGOYA HILL MALL, KOTA BATAM|29432|KOTA BATAM|Kec. Sekupang|||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778)7430346|(0778)7430436
155|BENGKONG|1.158199, 104.025498|JL. SUMATERA KOMPLEK BENGKONG CITY CENTRE, BLOK A NO. 7 KOTA BATAM|29458|KOTA BATAM|#REF!|||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778) 495246|
156|SUKAJADI|1.055528, 104.028857|KOMPLEKS DERMAGA CULINARY PARADISE, BLOK RF NO.01 SUKAJADI KOTA BATAM|29432|KOTA BATAM|Kec. Sukajadi|||Luar Jabodetabek|KEPULAUAN RIAU|SUMATERA|(0778) 4084646|(0778) 4082846
163|DUMAI|1.675630, 101.449576|JL. JEND. SUDIRMAN NO. 262 - DUMAI |28813|KOTA DUMAI|Kec. Dumai Timur|Kel. Teluk Binjai||Luar Jabodetabek|RIAU|SUMATERA|(0765) 33332, 34436, 31046|(0765) 31146
164|BENGKALIS|1.469689,102.105303|JL. JEND. A. YANI NO. 12-14 - BENGKALIS |28712|KAB. BENGKALIS|Kec. Bengkalis|Kel. Bengkalis Kota||Luar Jabodetabek|RIAU|SUMATERA|(0766)  22688|(0766) 21866
165|DURI|1.272908, 101.185742|JL. HANG TUAH NO. 22 - DURI|28884|KAB. BENGKALIS|Kec. Mandau|kel. Duri Barat||Luar Jabodetabek|RIAU|SUMATERA|(0765) 596856|(0765) 596857
166|BAGAN BATU|1.702540, 100.640710|JL. JEND. SUDIRMAN NO.161 BAGAN BATU, KEC. BAGAN SINEMBA,KAB. ROKAN HILIR,RIAU|28992|KAB. ROKAN HILIR|Kec. Bagan Sinembah|||Luar Jabodetabek|RIAU|SUMATERA|(0765)551046|
167|SUKAJADI|1.6724861,101.442991|JL. DIPONEGORO NO. 122 DUMAI |28812|KOTA DUMAI|Kec. Dumai Timur|Kel. Sukajadi||Luar Jabodetabek|RIAU|SUMATERA|(022)2037907|
168|SUDIRMAN DURI|1.2784844,101.196108|JL. JEND. SUDIRMAN, NO.14-15 DURI, BENGKALIS|28712|KAB. BENGKALIS|Kec. Bengkalis|Kel. Bengkalis Kota||Luar Jabodetabek|RIAU|SUMATERA|(0765) 94993|(0765) 94992
170|PEKANBARU|0.533846,101.44785|JL. JEND. SUDIRMAN NO. 119 - PEKANBARU|28141|KOTA PEKANBARU|kec. Limapuluh|kel. Rintis|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761) 22646, 23346, 33532, 33543, 22563, 40446, 21946|(0761) 21642
171|RUMBAI D/H PT. CALTEX RUMBAI|0.655732,101.439857|JL. YOS SUDARSO NO. 25 A -25 B, KEL. SRI MERANTI, KEC. RUMBAI, KOTA PEKANBARU|28266|KOTA PEKANBARU|Kec. Cintaraja|Kel. Sail|IBUKOTA PROPINSI|Luar Jabodetabek|RIAU|SUMATERA|(0761) 594850|(0761) 594949
